,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,"Seth Rogen, Elizabeth Banks, Craig Robinson",2 wins & 4 nominations,"$31,457,946",United States,03 Feb 2009,Kevin Smith,"Comedy, Romance",English,56,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than ...",https://m.media-amazon.com/images/M/MV5BY2I1N2Y0ODEtNzZmZS00NzBjLWFkZjEtMTVkOTY1Y2UzZGE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",31 Oct 2008,True,101 min,Zack and Miri Make a Porno,movie,N/A,Kevin Smith,2008,tt1007028,6.5,"178,921",
1,"Michael Cera, Portia Doubleday, Jean Smart",1 win & 1 nomination,"$15,281,286",United States,15 Jun 2010,Miguel Arteta,"Comedy, Drama, Romance","English, French, Spanish",63,"While his trailer trash parents teeter on the edge of divorce, Nick Twisp sets his sights on dream girl Sheeni Saunders, hoping that she'll be the one to take away his virginity.",https://m.media-amazon.com/images/M/MV5BMjE3NTkxODUwOV5BMl5BanBnXkFtZTcwMjE4NjI5Mg@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",08 Jan 2010,True,90 min,Youth in Revolt,movie,N/A,"Gustin Nash, C.D. Payne",2009,tt0403702,6.5,"74,836",
2,"Anthony Hopkins, Naomi Watts, Josh Brolin",2 wins & 6 nominations,"$3,248,246","United States, Spain",15 Feb 2011,Woody Allen,"Comedy, Drama, Romance","English, Italian",51,"Sally's parents' marriage breaks up when her father undergoes a mid-life crisis and impulsively weds a prostitute. Meanwhile, Sally's own marriage also begins to disintegrate.",https://m.media-amazon.com/images/M/MV5BMTkzOTI3MTE0OF5BMl5BanBnXkFtZTcwOTg3NDI3Mw@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",22 Oct 2010,True,98 min,You Will Meet a Tall Dark Stranger,movie,N/A,Woody Allen,2010,tt1182350,6.3,"46,187",
3,"Kristen Bell, Josh Duhamel, Anjelica Huston",3 nominations,"$32,680,633",United States,15 Jun 2010,Mark Steven Johnson,"Comedy, Romance","English, Italian, Ukrainian",25,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",https://m.media-amazon.com/images/M/MV5BMmViZDQ0OGEtNDJlZS00ZmM0LTk2MTItY2NmNGI4NTliOTg1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",29 Jan 2010,True,91 min,When in Rome,movie,N/A,"David Diamond, David Weissman",2010,tt1185416,5.5,"62,984",
4,"Cameron Diaz, Ashton Kutcher, Rob Corddry",2 wins & 3 nominations,"$80,277,646",United States,26 Aug 2008,Tom Vaughan,"Comedy, Romance","English, Serbo-Croatian",36,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",https://m.media-amazon.com/images/M/MV5BYzQyYjE3YjYtNjJkNi00MWY0LWJhNDctZDRmOTY5ZGJiNDI5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",09 May 2008,True,99 min,What Happens in Vegas,movie,N/A,Dana Fox,2008,tt1033643,6.1,"178,960",
5,"Robert Pattinson, Reese Witherspoon, Christoph Waltz",3 wins & 13 nominations,"$58,709,717",United States,01 Nov 2011,Francis Lawrence,"Drama, Romance","English, Polish",52,"Set in the 1930s, a former veterinary student takes a job in a travelling circus and falls in love with the ringmaster's wife.",https://m.media-amazon.com/images/M/MV5BMTQzMDU3NDEwN15BMl5BanBnXkFtZTcwMTI3MDU0NA@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",22 Apr 2011,True,120 min,Water for Elephants,movie,N/A,"Richard LaGravenese, Sara Gruen",2011,tt1067583,6.9,"117,263",
6,"Ben Burtt, Elissa Knight, Jeff Garlin",Won 1 Oscar. 96 wins & 95 nominations total,"$223,808,164",United States,18 Nov 2008,Andrew Stanton,"Animation, Adventure, Family","English, Hindi",95,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,N/A,G,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",27 Jun 2008,True,98 min,WALL·E,movie,N/A,"Andrew Stanton, Pete Docter, Jim Reardon",2008,tt0910970,8.4,"1,116,727",
7,"Keri Russell, Nathan Fillion, Jeremy Sisto",6 wins & 16 nominations,"$19,074,800",United States,27 Nov 2007,Adrienne Shelly,"Comedy, Drama, Romance",English,75,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",https://m.media-amazon.com/images/M/MV5BMTc4ODI2MjU2M15BMl5BanBnXkFtZTcwOTAzNzU0MQ@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",25 May 2007,True,108 min,Waitress,movie,N/A,Adrienne Shelly,2007,tt0473308,7.0,"47,172",
8,"Rachel Bilson, Tom Sturridge, Richard Jenkins",1 win & 1 nomination,"$25,517",United States,03 May 2011,James Keach,"Comedy, Drama, Romance",English,26,"A Hollywood-set romantic tale of a guy who is content to live his life without a job yet with the love of his life, a young actress.",https://m.media-amazon.com/images/M/MV5BMTMyNzg3MDE5MF5BMl5BanBnXkFtZTcwNjM4NTQyNA@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",04 Feb 2011,True,95 min,Waiting for Forever,movie,N/A,Steve Adams,2010,tt1296898,5.9,"20,057",
9,"Julia Roberts, Jamie Foxx, Anne Hathaway",7 wins & 12 nominations,"$110,528,528",United States,18 May 2010,Garry Marshall,"Comedy, Romance","English, Spanish, Russian, Italian",34,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",12 Feb 2010,True,125 min,Valentine's Day,movie,N/A,"Katherine Fugate, Abby Kohn, Marc Silverstein",2010,tt0817230,5.7,"121,045",
